,Accuracy,Precision,Recall,F1-Score,AUC
k-NN - Dataset_1,0.47701149425287354,0.35520599428792393,0.3411813186813187,0.3446088249992651,0.6743235195585611
Decision Tree - Dataset_1,0.5086206896551724,0.5765612066171977,0.3704499124064341,0.37469930889846736,0.6859974494736126
Random Forest - Dataset_1,0.5517241379310345,0.6573479955159345,0.37536749482401655,0.40915534508893686,0.7355533297514156
Gradient Boosting - Dataset_1,0.5287356321839081,0.46410958904109584,0.3156959706959707,0.32205594598318865,0.7233693406812548
Logistic Regression - Dataset_1,0.49712643678160917,0.42508137432188065,0.2609157509157509,0.23952984389348025,0.6763874841477011
SVM - Dataset_1,0.48563218390804597,0.19698795180722892,0.2326923076923077,0.1869818181818182,0.6781051365561879
MLP Classifier - Dataset_1,0.4885057471264368,0.4441567881754798,0.38302834846313105,0.4007366310356019,0.7013609877942185
k-NN - Dataset_2,0.47701149425287354,0.35520599428792393,0.3411813186813187,0.3446088249992651,0.6743235195585611
Decision Tree - Dataset_2,0.5086206896551724,0.5765612066171977,0.3704499124064341,0.37469930889846736,0.6859974494736126
Random Forest - Dataset_2,0.5517241379310345,0.6573479955159345,0.37536749482401655,0.40915534508893686,0.7355533297514156
Gradient Boosting - Dataset_2,0.5287356321839081,0.46410958904109584,0.3156959706959707,0.32205594598318865,0.7233693406812548
Logistic Regression - Dataset_2,0.49712643678160917,0.42508137432188065,0.2609157509157509,0.23952984389348025,0.6763874841477011
SVM - Dataset_2,0.48563218390804597,0.19698795180722892,0.2326923076923077,0.1869818181818182,0.6781051365561879
MLP Classifier - Dataset_2,0.4885057471264368,0.4441567881754798,0.38302834846313105,0.4007366310356019,0.7013609877942185
k-NN - Dataset_3,0.47701149425287354,0.35520599428792393,0.3411813186813187,0.3446088249992651,0.6743235195585611
Decision Tree - Dataset_3,0.5086206896551724,0.5765612066171977,0.3704499124064341,0.37469930889846736,0.6859974494736126
Random Forest - Dataset_3,0.5517241379310345,0.6573479955159345,0.37536749482401655,0.40915534508893686,0.7355533297514156
Gradient Boosting - Dataset_3,0.5287356321839081,0.46410958904109584,0.3156959706959707,0.32205594598318865,0.7233693406812548
Logistic Regression - Dataset_3,0.49712643678160917,0.42508137432188065,0.2609157509157509,0.23952984389348025,0.6763874841477011
SVM - Dataset_3,0.48563218390804597,0.19698795180722892,0.2326923076923077,0.1869818181818182,0.6781051365561879
MLP Classifier - Dataset_3,0.4885057471264368,0.4441567881754798,0.38302834846313105,0.4007366310356019,0.7013609877942185
k-NN - Dataset_4,0.83115338882283,0.8282601392281068,0.8310580445195829,0.8119789695121401,0.8944230557275619
Decision Tree - Dataset_4,0.6504161712247325,0.6408345687927697,0.6504156100309947,0.644351786118938,0.7815091033951761
Random Forest - Dataset_4,0.7669441141498217,0.7544363629004514,0.7669061707523246,0.7524529848520882,0.9458746972966455
Gradient Boosting - Dataset_4,0.7027348394768134,0.6914869392090919,0.7027542969850662,0.6958425082678867,0.9026866152573376
Logistic Regression - Dataset_4,0.42568370986920334,0.3982080449801363,0.4255142293603833,0.39814773994234487,0.7238466709120498
SVM - Dataset_4,0.7027348394768134,0.6923342146818313,0.7027331642716257,0.678782207827531,0.8971562108406321
MLP Classifier - Dataset_4,0.713436385255648,0.6956226265326151,0.7134474499859115,0.6999489477985018,0.8899680816478451
